batsman,runs,deliveries_faced,outs,dots,singles,doubles,threes,fours,sixers,bowled,catches,run_outs
MK Lomror,87,78,5,26,35,7,0,5,3,0,5,0
MK Pandey,3268,2680,109,936,1138,188,10,286,93,31,67,5
MK Tiwary,1695,1444,61,506,631,77,8,154,40,18,30,8
ML Hayden,1107,798,27,307,254,48,2,119,44,7,17,0
MM Ali,309,195,13,63,73,7,0,21,23,1,8,1
MM Patel,39,41,5,17,17,1,0,5,0,2,2,1
MM Sharma,122,117,14,49,45,7,1,9,4,3,9,2
MN Samuels,161,172,12,75,61,11,0,9,7,5,5,2
MN van Wyk,167,131,3,37,58,12,1,18,1,1,2,0
MP Stoinis,825,598,30,185,250,53,1,65,34,5,20,3
MR Marsh,225,197,13,77,83,11,0,9,14,4,8,1
MS Bisla,798,700,37,315,207,36,3,92,23,11,18,4
MS Dhoni,4632,3371,126,1040,1404,313,15,313,214,21,76,22
MS Gony,99,70,9,32,19,4,0,6,8,4,4,1
MS Wade,22,33,3,14,14,4,0,0,0,3,0,0
MV Boucher,394,307,15,99,126,29,1,32,12,5,8,2
Mandeep Singh,1659,1333,78,469,515,112,4,170,37,17,48,7
Mashrafe Mortaza,2,2,0,1,0,1,0,0,0,0,0,0
Misbah-ul-Haq,117,81,9,28,29,6,0,10,6,2,4,2
Mohammad Ashraful,2,10,1,7,2,0,0,0,0,0,1,0
Mohammad Asif,3,6,2,3,3,0,0,0,0,0,1,1
Mohammad Hafeez,64,83,8,46,24,0,0,7,2,1,6,1
Mohammad Nabi,146,98,9,33,37,6,1,13,6,2,6,1
Mohammed Shami,56,56,10,25,20,2,0,5,2,2,6,1
Mohammed Siraj,46,48,5,19,20,2,0,4,1,2,1,2
Mujeeb Ur Rahman,11,14,3,7,3,0,0,2,0,1,2,0
Mustafizur Rahman,1,3,1,2,1,0,0,0,0,0,1,0
N Jagadeesan,33,29,2,10,13,2,0,4,0,0,1,1
N Pooran,521,314,17,109,100,26,1,33,39,2,14,1
N Rana,1437,1058,53,406,395,44,3,126,72,8,39,4
N Saini,140,140,11,63,43,15,1,16,0,3,5,1
NA Saini,29,31,2,12,13,2,0,3,0,1,1,0
ND Doshi,0,13,1,13,0,0,0,0,0,0,1,0
NJ Maddinson,20,21,3,15,1,0,1,4,0,2,1,0
NJ Rimmington,1,1,0,0,1,0,0,0,0,0,0,0
NL McCullum,26,22,3,6,9,4,1,0,1,0,1,2
NLTC Perera,422,305,24,104,117,26,1,23,26,4,17,3
NM Coulter-Nile,77,65,8,33,17,4,0,7,4,3,5,0
NS Naik,31,50,4,27,17,3,0,2,0,2,2,0
NV Ojha,1554,1308,74,581,437,64,10,120,78,11,54,5
Niraj Patel,121,119,5,54,38,9,1,14,1,2,2,1
OA Shah,506,388,13,121,167,29,2,34,23,3,5,3
P Awana,5,14,3,9,5,0,0,0,0,0,2,1
P Chopra,8,6,1,4,0,0,0,2,0,0,1,0
P Dogra,127,138,12,59,58,10,1,4,5,2,4,5
P Dubey,7,13,0,6,5,1,0,0,0,0,0,0
P Kumar,340,312,34,141,102,23,0,22,17,16,11,6
P Negi,365,288,26,104,107,25,1,27,16,5,15,4
P Parameswaran,1,2,0,1,1,0,0,0,0,0,0,0
P Ray Barman,19,24,1,11,11,0,0,2,0,0,1,0
P Sahu,19,13,0,4,5,2,0,1,1,0,0,0
P Simran Singh,31,32,3,17,9,2,0,3,1,1,2,0
PA Patel,2848,2350,127,928,808,127,8,364,49,34,72,11
PA Reddy,164,160,10,65,65,12,1,15,2,2,6,1
PC Valthaty,505,414,22,209,99,20,0,60,20,3,18,1
PD Collingwood,203,156,4,54,66,10,1,9,13,1,2,1
PJ Cummins,223,169,13,65,55,20,0,14,12,3,10,0
PJ Sangwan,24,39,7,20,14,3,0,1,0,3,3,1
PK Garg,133,109,9,38,44,13,1,8,4,3,5,1
PM Sarvesh Kumar,1,2,0,1,1,0,0,0,0,0,0,0
PP Chawla,584,522,50,211,188,34,1,54,18,14,26,8
PP Ojha,16,44,10,25,14,1,0,0,0,3,5,2
PP Shaw,826,590,37,226,199,31,2,99,27,8,24,1
PR Shah,92,90,8,39,27,8,0,9,2,1,6,0
PSP Handscomb,6,12,1,6,6,0,0,0,0,0,1,0
PV Tambe,18,38,1,22,14,0,0,1,0,0,1,0
Pankaj Singh,7,12,2,6,5,1,0,0,0,1,1,0
Parvez Rasool,17,20,2,6,11,1,0,1,0,0,1,0
Q de Kock,1959,1464,60,556,519,77,5,201,76,12,43,1
R Ashwin,412,373,36,137,158,24,0,35,11,6,24,3
R Bhatia,342,284,29,97,119,23,1,24,13,5,17,4
R Bishnoi,19,17,3,11,3,0,0,1,2,0,2,1
R Dhawan,153,135,7,53,48,13,1,13,4,3,2,1
R Dravid,2174,1878,77,746,680,118,1,269,28,18,47,6
R McLaren,159,171,8,65,78,8,1,14,1,4,2,2
R Ninan,3,5,1,2,3,0,0,0,0,0,1,0
R Parag,246,203,10,76,84,11,0,23,8,2,7,0
R Rampaul,51,49,5,22,14,6,0,3,2,1,4,0
R Sathish,270,230,16,79,88,24,3,22,6,4,9,2
R Sharma,66,75,11,43,14,7,0,5,3,4,6,1
R Shukla,19,23,2,10,11,0,0,2,0,0,1,1
R Tewatia,366,271,13,86,110,20,0,24,20,5,7,1
R Vinay Kumar,310,274,26,96,110,31,0,21,9,10,13,2
RA Jadeja,2159,1695,88,531,738,156,5,157,76,18,53,8
RA Tripathi,988,731,37,261,271,54,2,94,37,9,24,2
RD Chahar,17,17,2,8,5,2,0,2,0,0,2,0
RD Gaikwad,204,169,3,56,77,12,1,16,6,2,0,0
RE Levi,83,73,6,36,19,0,0,10,4,4,1,0
RE van der Merwe,159,141,12,61,53,4,2,11,8,2,5,2
RG More,2,2,0,0,2,0,0,0,0,0,0,0
RG Sharma,5230,3991,177,1402,1657,214,6,455,212,35,112,20
RJ Harris,117,111,12,45,39,16,1,6,3,3,9,0
RJ Peterson,32,30,3,11,12,1,0,3,1,0,1,2
RJ Quiney,103,102,7,49,30,2,1,12,3,3,4,0
RK Bhui,7,17,2,12,3,2,0,0,0,0,2,0
RK Singh,77,76,7,30,35,3,0,6,2,1,6,0
RN ten Doeschate,326,235,17,71,102,15,0,26,15,6,6,5
RP Singh,52,76,15,34,31,2,1,2,1,4,5,4
RR Bhatkal,0,2,2,2,0,0,0,0,0,0,1,1
RR Pant,2079,1363,59,422,548,82,2,183,102,15,39,5
RR Powar,67,64,3,26,23,7,0,6,1,2,0,1
RR Raje,20,18,1,6,10,0,0,1,1,1,0,0
RR Rossouw,53,51,6,24,17,3,0,3,3,4,1,1
RR Sarwan,73,75,3,30,31,6,0,6,1,1,2,0
RS Bopara,531,453,19,153,204,27,7,39,16,4,13,2
RS Gavaskar,2,8,1,6,2,0,0,0,0,0,1,0
RS Sodhi,4,2,0,1,0,0,0,1,0,0,0,0
RT Ponting,91,128,8,63,47,6,0,5,2,1,5,0
RV Gomez,50,51,7,22,16,4,0,5,1,2,3,2
RV Uthappa,4607,3528,169,1288,1323,214,13,453,163,29,115,13
Rashid Khan,139,92,16,37,25,8,0,8,11,2,9,1
Rasikh Salam,5,4,0,1,1,2,0,0,0,0,0,0
Ravi Bishnoi,7,12,1,8,3,0,0,1,0,0,1,0
S Anirudha,136,112,8,41,44,7,0,9,7,3,4,0
S Aravind,59,57,3,21,21,5,0,7,0,2,1,0
S Badree,13,23,5,12,9,2,0,0,0,4,1,0
S Badrinath,1441,1208,48,431,483,84,1,154,28,6,31,5
S Chanderpaul,25,31,3,18,9,0,0,4,0,0,3,0
S Dhawan,5197,4082,152,1431,1632,236,20,587,108,41,86,15
S Dube,169,138,11,54,57,8,0,6,12,2,7,2
S Gopal,164,157,12,58,68,11,0,17,1,1,9,1
S Kaul,12,28,3,20,4,4,0,0,0,0,1,1
S Kaushik,0,1,1,1,0,0,0,0,0,0,1,0
S Ladda,0,9,2,9,0,0,0,0,0,0,0,2
S Lamichhane,0,1,1,1,0,0,0,0,0,1,0,0
S Nadeem,39,86,15,54,25,3,0,2,0,3,5,4
S Narwal,37,27,4,10,9,2,0,6,0,0,3,1
S Rana,91,79,5,30,29,8,0,9,1,3,1,1
S Randiv,2,4,1,3,0,1,0,0,0,0,1,0
S Sohal,368,289,18,130,82,17,1,34,18,5,12,1
S Sreesanth,34,55,3,36,6,2,0,6,0,2,1,0
S Sriram,31,36,2,15,15,2,0,3,0,1,1,0
S Tyagi,3,4,0,1,3,0,0,0,0,0,0,0
S Vidyut,145,109,8,48,30,5,1,21,3,0,8,0
SA Abbott,15,13,1,6,3,1,0,1,1,0,1,0
SA Asnodkar,423,337,19,139,105,17,0,56,10,2,11,5
SA Yadav,2024,1498,65,506,602,88,4,220,58,13,47,3
SB Bangar,49,58,6,25,25,1,0,1,3,0,5,1
SB Jakati,28,29,2,11,14,1,0,3,0,0,1,1
SB Joshi,6,14,2,8,6,0,0,0,0,0,1,1
SB Styris,131,132,7,48,63,5,0,10,3,3,4,0
SB Wagh,2,3,2,2,0,1,0,0,0,0,1,1
SC Ganguly,1349,1257,54,567,427,54,3,137,41,11,37,3
SD Chitnis,99,88,7,34,37,5,0,10,1,0,6,1
SD Lad,15,13,1,8,2,0,1,1,1,1,0,0
SE Bond,1,2,1,1,1,0,0,0,0,1,0,0
SE Marsh,2477,1862,64,646,724,98,6,265,77,19,35,5
SE Rutherford,73,54,5,23,17,3,0,2,7,0,5,0
SJ Srivastava,5,5,1,1,3,1,0,0,0,1,0,0
SK Raina,5368,3895,160,1220,1661,262,11,491,193,22,110,12
SK Trivedi,42,58,8,34,16,4,0,3,1,4,3,1
SK Warne,198,213,19,95,81,12,0,14,6,6,6,4
SL Malinga,88,99,12,52,32,1,0,6,5,5,5,2
SM Curran,281,196,12,80,61,15,0,25,15,4,6,0
SM Harwood,9,13,0,4,4,2,0,0,0,0,0,0
SM Katich,241,185,10,73,55,15,1,26,8,2,6,2
SM Pollock,147,111,8,40,47,2,0,12,8,4,4,0
SMSM Senanayake,10,16,1,7,8,1,0,0,0,0,0,1
SN Khan,441,312,20,96,132,20,0,49,11,1,14,4
SN Thakur,48,42,5,17,16,3,0,5,1,2,3,0
SO Hetmyer,275,197,13,72,77,11,0,15,19,2,9,1
SP Fleming,196,162,9,74,42,11,2,26,3,3,5,1
SP Goswami,293,293,20,129,109,17,1,32,3,2,15,2
SP Jackson,38,31,2,10,14,2,0,5,0,0,1,0
SP Narine,892,542,49,227,118,20,1,103,52,11,34,1
SPD Smith,2333,1792,72,537,812,149,7,209,56,17,42,10
SR Tendulkar,2334,1941,71,725,720,116,7,296,29,20,36,8
SR Watson,3874,2797,125,1128,927,135,8,373,190,41,70,9
SS Cottrell,0,2,1,2,0,0,0,0,0,1,0,0
SS Iyer,2200,1739,73,614,735,95,4,188,83,14,48,7
SS Shaikh,6,7,0,4,2,0,0,1,0,0,0,0
SS Tiwary,1379,1138,48,386,496,90,2,101,48,7,34,2
ST Jayasuriya,768,529,29,236,126,22,7,84,38,7,19,2
STR Binny,880,682,44,239,262,61,7,66,35,9,27,4
SV Samson,2584,1926,91,644,788,150,13,191,115,19,61,5
SW Billings,334,248,19,77,99,24,1,31,10,4,13,1
SW Tait,23,26,3,11,13,0,0,1,1,2,0,0
Sachin Baby,137,99,9,33,36,13,0,11,5,1,5,2
Salman Butt,193,160,7,70,46,7,0,30,2,3,4,0
Sandeep Sharma,44,56,5,23,27,2,0,3,0,1,3,0
Shahbaz Ahmed,1,1,0,0,1,0,0,0,0,0,0,0
Shahid Afridi,81,46,8,19,12,0,0,7,6,1,7,0
Shakib Al Hasan,746,585,34,187,255,44,0,69,20,9,21,3
Shivam Mavi,23,29,5,14,9,3,0,2,0,1,3,0
Shivam Sharma,5,3,1,1,1,0,0,1,0,1,0,0
Shoaib Ahmed,1,6,2,5,1,0,0,0,0,0,1,1
Shoaib Akhtar,2,7,1,5,2,0,0,0,0,0,1,0
Shoaib Malik,52,46,4,13,23,4,0,5,0,1,3,0
Shubman Gill,939,748,27,243,337,51,2,87,24,3,19,3
Sohail Tanvir,36,28,3,9,13,2,0,3,1,1,2,0
Sunny Gupta,0,1,1,1,0,0,0,0,0,0,0,0
Sunny Singh,43,31,4,11,11,1,0,6,1,0,3,1
Swapnil Singh,12,20,3,10,8,2,0,0,0,2,1,0
T Banton,18,20,2,11,6,1,0,1,1,1,1,0
T Henderson,11,15,1,10,3,1,0,0,1,1,0,0
T Kohli,11,19,3,13,5,0,0,0,1,0,2,1
T Natarajan,3,5,0,2,3,0,0,0,0,0,0,0
T Taibu,31,26,3,9,9,5,0,3,0,0,2,1
T Thushara,12,18,2,9,6,3,0,0,0,0,1,1
TA Boult,12,15,3,10,2,2,0,0,1,2,0,0
TD Paine,10,26,2,14,10,0,0,0,0,1,1,0
TG Southee,115,89,6,32,34,10,0,8,4,1,4,1
TK Curran,106,90,4,29,40,8,0,8,3,0,4,0
TL Suman,676,573,30,230,205,43,3,55,26,5,22,1
TM Dilshan,1153,1001,41,421,334,53,2,137,24,14,24,2
TM Head,205,147,6,39,66,21,0,12,8,1,4,1
TM Srivastava,8,11,1,5,5,0,1,0,0,0,1,0
TR Birt,75,57,5,24,15,6,0,9,2,1,4,0
TS Mills,8,11,3,7,2,0,0,0,1,1,2,0
TU Deshpande,21,12,1,3,5,1,0,2,1,0,1,0
U Kaul,0,1,0,1,0,0,0,0,0,0,0,0
UA Birla,7,14,1,10,3,0,0,1,0,1,0,0
UBT Chand,300,299,20,148,88,15,0,32,9,6,13,0
UT Khawaja,127,99,5,36,38,6,1,14,3,0,3,1
UT Yadav,122,128,14,61,46,4,0,11,4,6,5,2
Umar Gul,39,19,3,6,5,0,0,1,5,0,2,1
V Kohli,5878,4480,163,1467,1912,345,13,504,201,37,105,15
V Pratap Singh,0,1,1,1,0,0,0,0,0,0,1,0
V Sehwag,2728,1739,98,601,555,95,2,333,105,19,70,6
V Shankar,654,511,21,153,240,42,1,44,25,2,19,0
VH Zol,29,26,2,13,7,2,0,3,1,1,1,0
VR Aaron,50,71,4,42,21,4,0,2,2,1,2,1
VRV Singh,4,3,1,1,0,0,0,1,0,0,1,0
VS Malik,7,7,1,2,3,0,0,1,0,1,0,0
VS Yeligati,2,2,1,1,0,1,0,0,0,0,0,1
VVS Laxman,282,266,16,113,100,10,0,33,4,3,9,1
VY Mahesh,15,27,2,13,11,2,0,0,0,1,1,0
Vishnu Vinod,19,26,3,15,9,0,0,1,1,1,1,1
W Jaffer,130,121,7,55,41,6,1,14,3,0,7,0
WA Mota,56,75,5,27,40,4,0,2,0,2,3,0
WD Parnell,63,75,9,31,31,5,0,4,1,2,4,3
WP Saha,1979,1498,78,497,590,127,5,183,64,22,43,8
WPUJC Vaas,81,72,7,22,33,11,0,2,2,2,4,1
Washington Sundar,186,148,12,47,61,13,1,15,6,1,9,1
X Thalaivan Sargunam,10,17,1,9,6,2,0,0,0,0,0,0
Y Gnaneswara Rao,19,17,1,8,5,1,0,3,0,0,0,0
Y Nagar,285,259,15,91,109,18,2,20,9,5,8,2
Y Prithvi Raj,0,1,0,1,0,0,0,0,0,0,0,0
Y Venugopal Rao,985,832,42,304,340,53,1,76,37,9,24,9
YA Abdulla,0,1,0,0,0,0,0,0,0,0,0,0
YBK Jaiswal,40,44,3,20,20,0,0,2,2,1,1,0
YK Pathan,3204,2229,111,744,869,153,5,262,159,16,76,12
YS Chahal,22,51,5,31,17,1,1,0,0,1,3,1
YV Takawale,192,177,8,89,40,12,0,26,3,4,4,0
Yashpal Singh,47,65,4,37,20,2,1,5,0,0,4,0
Younis Khan,3,7,1,4,3,0,0,0,0,1,0,0
Yuvraj Singh,2750,2113,109,863,739,118,3,215,149,15,84,4
Z Khan,117,140,15,71,46,7,0,11,2,5,6,3
